algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
kprototypes,3,0.3703933258851369,1.320042229069023,907.9712389933238,-0.07902109666753748,0.03875218403018538,0.5960912788941766,100.0,-0.003998941276222467,0.10401756068070729,3.0,3,True,P1: entropía de tamaños 0.424 < 0.5
kprototypes,4,0.22942694028218588,1.4230256502895484,883.870507881411,-0.0357926704662772,0.18528295629127559,0.780850114878211,100.0,-0.01835671905428171,0.10401756068070729,4.0,3,False,
kprototypes,5,0.2538484384616216,1.2731067462730274,916.6050928224439,-0.035523223377612156,0.14355166305587783,0.8131397298936327,100.0,-0.026925470679998398,0.10401756068070729,5.0,3,False,
kprototypes,6,0.23742884397506714,1.1924733312696558,920.4243251779413,-0.012829854863786865,0.20272171276903536,0.8434429218420689,100.0,-0.02240292790035407,0.10401756068070729,6.0,3,False,
kprototypes,7,0.25403354068597156,1.1486160373476564,919.7194093316748,-0.019889273884677438,0.18797314276798135,0.8257097575665258,100.0,-0.03872200846672058,0.10401756068070729,7.0,3,False,
kprototypes,8,0.2251293659210205,1.2200558661018188,876.1139180740087,-0.006784090190301871,0.1915948453421262,0.8779411574795425,100.0,-0.025121572117010754,0.10401756068070729,8.0,3,False,
kprototypes,9,0.24361609915892282,1.1255642172856732,849.6867360563223,-0.01596674214516321,0.18187567506145905,0.8305373337107501,100.0,-0.030099834005037945,0.10401756068070729,9.0,3,False,
kprototypes,10,0.23573459684848785,1.1554686715307547,823.9534722932393,-0.005939277857752418,0.18478620224393824,0.8379895606417703,100.0,-0.04392077152927717,0.10401756068070729,10.0,3,False,
kmeans,3,0.27170100808143616,1.4087076889899668,897.4376580753278,-0.03682858860697403,0.1142291552193817,0.7285959719307771,100.0,-0.003998941276222467,0.10401756068070729,3.0,3,True,P1: entropía de tamaños 0.422 < 0.5
kmeans,4,0.28430646657943726,1.3205277258501662,865.4497655302912,-0.03485842217761354,0.1459009359192034,0.7560791569283949,100.0,-0.01835671905428171,0.10401756068070729,4.0,3,True,P1: entropía de tamaños 0.497 < 0.5
kmeans,5,0.2250225991010666,1.2567661825135021,915.0352637118625,-0.024173447578809362,0.1969762246666056,0.793967981662607,100.0,-0.026925470679998398,0.10401756068070729,5.0,3,False,
kmeans,6,0.24103943010171255,1.1773481124767564,922.8498822691869,-0.02126637333878884,0.20097859326222636,0.8094640073654006,100.0,-0.02240292790035407,0.10401756068070729,6.0,3,False,
