algoritmo,proveedor,mejor_k,silueta_gower,davies_bouldin,calinski_harabasz,ari_vs_modalidad,ari_vs_cuartil,entropia,cobertura,descalificado,notas,ganador_portafolio
K-Prototypes,P1,7,0.2499,1.1786,965.2,-0.0183,0.1643,0.8262,100.0,False,gamma=0.5000 | ruido=0.0 % | 16.9 s,False
K-Prototypes,P2,7,0.2649,1.1596,910.0,-0.0172,0.2042,0.8003,100.0,False,gamma=0.5000 | ruido=0.0 % | 16.2 s,False
K-Prototypes,P3,7,0.2472,1.1077,884.0,-0.0242,0.1954,0.8506,100.0,False,gamma=0.5000 | ruido=0.0 % | 16.1 s,False
K-Means,P1,7,0.2539,1.1888,968.2,-0.0096,0.1822,0.821,100.0,False, | ruido=0.0 % | 0.1 s,False
K-Means,P2,7,0.2675,1.1538,911.2,-0.0065,0.1995,0.7991,100.0,False, | ruido=0.0 % | 0.0 s,False
K-Means,P3,7,0.2528,1.1072,885.3,-0.015,0.1926,0.8485,100.0,False, | ruido=0.0 % | 0.0 s,False
Jerárquico (average),P1,3,0.5721,0.7499,599.5,-0.0637,0.0003,0.2305,100.0,True, | ruido=0.0 % | 0.4 s | DESCALIFICADO: entropía de tamaños 0.231 < 0.5,False
Jerárquico (average),P2,3,0.6463,0.7674,628.5,-0.0721,-0.0001,0.2295,100.0,True, | ruido=0.0 % | 0.3 s | DESCALIFICADO: entropía de tamaños 0.230 < 0.5,False
Jerárquico (average),P3,3,0.5516,1.2525,469.5,-0.1136,0.0003,0.4191,100.0,True, | ruido=0.0 % | 0.2 s | DESCALIFICADO: entropía de tamaños 0.419 < 0.5,False
K-Medoids (PAM),P1,3,0.2606,1.668,899.4,-0.0354,0.0042,0.8081,100.0,False,FasterPAM | ruido=0.0 % | 0.2 s,True
K-Medoids (PAM),P2,3,0.2989,1.5667,947.5,-0.0441,0.0023,0.8181,100.0,False,FasterPAM | ruido=0.0 % | 0.1 s,True
K-Medoids (PAM),P3,3,0.2713,1.7977,680.9,-0.0374,0.0044,0.9187,100.0,False,FasterPAM | ruido=0.0 % | 0.1 s,True
DBSCAN/HDBSCAN,P1,7,0.3229,1.2489,616.7,0.6677,0.0213,0.7405,77.97,True,HDBSCAN(paquete hdbscan) mcs=30 | ruido=22.0 % | 0.0 s | DESCALIFICADO: cobertura 78.0 % < 85.0 %,False
DBSCAN/HDBSCAN,P2,6,0.3486,1.2675,521.7,0.6571,0.0227,0.7643,75.6,True,HDBSCAN(paquete hdbscan) mcs=30 | ruido=24.4 % | 0.0 s | DESCALIFICADO: cobertura 75.6 % < 85.0 %,False
DBSCAN/HDBSCAN,P3,9,0.3067,1.1382,270.0,0.53,0.0243,0.7555,77.8,True,HDBSCAN(paquete hdbscan) mcs=30 | ruido=22.2 % | 0.0 s | DESCALIFICADO: cobertura 77.8 % < 85.0 %,False
Gaussian Mixture,P1,9,0.2367,1.9213,408.9,0.5603,0.0195,0.781,100.0,False,"BIC=-304,234 | ruido=0.0 % | 0.1 s",False
Gaussian Mixture,P2,9,0.2235,1.8721,432.0,0.4163,0.0365,0.7297,100.0,False,"BIC=-303,917 | ruido=0.0 % | 0.2 s",False
Gaussian Mixture,P3,9,0.2421,2.1172,366.9,0.4283,0.0219,0.782,100.0,False,"BIC=-298,793 | ruido=0.0 % | 0.1 s",False
K-Prototypes,PROMEDIO_P1_P3,7,0.254,1.1486,919.7,-0.0199,0.188,0.8257,100.0,False,apto.,False
K-Means,PROMEDIO_P1_P3,7,0.2581,1.1499,921.6,-0.0104,0.1914,0.8229,100.0,False,apto.,False
Jerárquico (average),PROMEDIO_P1_P3,3,0.59,0.9233,565.9,-0.0831,0.0002,0.293,100.0,True,DESCALIFICADO. P1: entropía de tamaños 0.231 < 0.5 | P2: entropía de tamaños 0.230 < 0.5 | P3: entropía de tamaños 0.419 < 0.5,False
K-Medoids (PAM),PROMEDIO_P1_P3,3,0.2769,1.6775,842.6,-0.039,0.0036,0.8483,100.0,False,apto.,True
DBSCAN/HDBSCAN,PROMEDIO_P1_P3,6,0.3261,1.2182,469.5,0.6183,0.0228,0.7534,77.12,True,DESCALIFICADO. P1: cobertura 78.0 % < 85.0 % | P2: cobertura 75.6 % < 85.0 % | P3: cobertura 77.8 % < 85.0 %,False
Gaussian Mixture,PROMEDIO_P1_P3,9,0.2341,1.9702,402.6,0.4683,0.026,0.7642,100.0,False,apto.,False
