proveedor,provincia,variable,eta2_vs_modalidad
P1,GUAYAS,distancia_km,0.0093
P1,GUAYAS,cpc_jaccard4,0.0486
P1,GUAYAS,sim_tfidf,0.0458
P1,GUAYAS,desviacion_presupuesto,0.2695
P1,GUAYAS,actividad_cpc_comprador,0.0114
P1,GUAYAS,afinidad_comprador,0.0271
P2,PICHINCHA,distancia_km,0.0104
P2,PICHINCHA,cpc_jaccard4,0.0855
P2,PICHINCHA,sim_tfidf,0.0611
P2,PICHINCHA,desviacion_presupuesto,0.2695
P2,PICHINCHA,actividad_cpc_comprador,0.0114
P2,PICHINCHA,afinidad_comprador,0.0408
P3,SANTO DOMINGO DE LOS TSACHILAS,distancia_km,0.0098
P3,SANTO DOMINGO DE LOS TSACHILAS,cpc_jaccard4,0.1446
P3,SANTO DOMINGO DE LOS TSACHILAS,sim_tfidf,0.0552
P3,SANTO DOMINGO DE LOS TSACHILAS,desviacion_presupuesto,0.2695
P3,SANTO DOMINGO DE LOS TSACHILAS,actividad_cpc_comprador,0.0114
P3,SANTO DOMINGO DE LOS TSACHILAS,afinidad_comprador,0.0261
