proveedor,algoritmo,k_o_grupos,silueta_gower,davies_bouldin,calinski_harabasz,n_grupos,pct_ruido,ari_vs_modalidad,segundos,notas
P1,K-Prototypes,3,0.08158240467309952,1.340302211105058,526.3513441746916,3,0.0,0.039382425101328784,10.51,gamma=0.5000
P1,K-Prototypes,4,0.1180209070444107,1.3464714672127536,703.0995050559611,4,0.0,0.025167418862158775,14.81,gamma=0.5000
P1,K-Prototypes,5,0.0712471604347229,1.2471819105538509,683.6754859877586,5,0.0,0.019927621739428348,15.28,gamma=0.5000
P1,K-Prototypes,6,0.08632991462945938,1.2522362513776744,652.6903997049599,6,0.0,0.026572776432697367,14.41,gamma=0.5000
P1,K-Prototypes,7,0.08156445622444153,1.2060171749887054,625.7076004418032,7,0.0,0.022521604662659147,17.49,gamma=0.5000
P1,K-Prototypes,8,0.076375313103199,1.1353461242477771,611.6679904926276,8,0.0,0.022719045077816646,19.34,gamma=0.5000
P1,K-Prototypes,9,0.0637742280960083,1.0140821912308473,647.1682413972444,9,0.0,0.022831850864955525,32.92,gamma=0.5000
P1,K-Prototypes,10,0.06808732450008392,1.1119076508401764,611.8250624738075,10,0.0,0.020572894409159485,28.75,gamma=0.5000
P1,K-Means,3,0.21983030438423157,1.0687369114670209,807.6946382336421,3,0.0,0.05204712384323148,1.44,
P1,K-Means,4,0.0847935825586319,1.0184456929136696,711.7762581760682,4,0.0,0.04290731894179982,0.03,
P1,K-Means,5,0.10656195878982544,1.1947501655647288,689.7686111980389,5,0.0,0.027053587940776093,0.03,
P1,K-Means,6,0.07166888564825058,1.2516578085455732,653.4195954819162,6,0.0,0.03421053237628952,0.04,
P1,K-Means,7,0.07693754881620407,1.0764031421015798,653.2228633835977,7,0.0,0.03288674577565039,0.04,
P1,K-Means,8,0.0718294084072113,1.0707175276993572,646.6363995153617,8,0.0,0.027617139114940664,0.06,
P1,K-Means,9,0.06405463814735413,1.0119498954576853,648.2467030898883,9,0.0,0.02851477191354641,0.06,
P1,K-Means,10,0.06547917425632477,0.9606088919739653,647.8822483663009,10,0.0,0.034004026239933566,0.06,
P1,Jerárquico (average),3,0.4543207287788391,0.09395490091398563,416.1567611216077,3,0.0,-0.0011308325344627805,0.25,
P1,Jerárquico (average),4,0.32036635279655457,0.8804672454411466,313.35549429234857,4,0.0,0.05390349780368632,0.17,
P1,Jerárquico (average),5,0.35001543164253235,1.0991572886360712,344.9622530389513,5,0.0,0.30828186155415,0.18,
P1,Jerárquico (average),6,0.3674214780330658,1.47510256405754,290.14442997761046,6,0.0,0.31790450951795557,0.2,
P1,Jerárquico (average),7,0.3900166153907776,1.83701910478292,253.2113512947503,7,0.0,0.4070394815384154,0.17,
P1,Jerárquico (average),8,0.4071488380432129,1.9417483834052367,222.34775268468888,8,0.0,0.454750751277757,0.28,
P1,Jerárquico (average),9,0.4616027772426605,1.93145863681084,216.67198209512128,9,0.0,0.6238065855700866,0.27,
P1,Jerárquico (average),10,0.6200918555259705,1.9410986357278301,223.2753665331336,10,0.0,0.9850177868051985,0.27,
P1,K-Medoids (PAM),3,0.4044385552406311,2.5171733918176566,243.0816631688315,3,0.0,0.6475843872498244,0.1,FasterPAM
P1,K-Medoids (PAM),4,0.503171980381012,2.2233578773507965,230.3176951487305,4,0.0,0.8950403946060257,0.09,FasterPAM
P1,K-Medoids (PAM),5,0.5398268103599548,2.6113486712515375,165.6263749340436,5,0.0,0.9406800733802668,0.09,FasterPAM
P1,K-Medoids (PAM),6,0.3619798719882965,2.4633170060202776,208.15487269567186,6,0.0,0.5307779003915529,0.1,FasterPAM
P1,K-Medoids (PAM),7,0.4104800522327423,2.5304678997331416,174.6524613652292,7,0.0,0.5877036025175105,0.08,FasterPAM
P1,K-Medoids (PAM),8,0.3617625832557678,2.4422859433090034,178.2108078324862,8,0.0,0.4410955346081271,0.14,FasterPAM
P1,K-Medoids (PAM),9,0.3885611295700073,2.3206874619899525,162.27589823786485,9,0.0,0.45229195680961515,0.11,FasterPAM
P1,K-Medoids (PAM),10,0.40828296542167664,2.289725075277149,146.02933587241935,10,0.0,0.464434211020412,0.11,FasterPAM
P1,DBSCAN/HDBSCAN,9,0.6444518566131592,2.2856348083900104,126.78154049189777,9,0.5666666666666667,1.0,0.0,HDBSCAN(paquete hdbscan) mcs=30
P1,Gaussian Mixture,3,0.33867815136909485,2.880522079837061,146.336791214103,3,0.0,0.4391853413147789,0.03,"BIC=-263,582"
P1,Gaussian Mixture,4,0.3852976858615875,2.6054593915130564,139.44800360737509,4,0.0,0.6648445816126146,0.06,"BIC=-292,426"
P1,Gaussian Mixture,5,0.3982492685317993,2.2665527960984004,192.32647087118968,5,0.0,0.6934243724019444,0.06,"BIC=-302,046"
P1,Gaussian Mixture,6,0.40677112340927124,2.073938450730458,229.71408553370318,6,0.0,0.6376036446892687,0.05,"BIC=-289,872"
P1,Gaussian Mixture,7,0.3907824158668518,2.1890945723964235,172.8677864980234,7,0.0,0.6279636654293433,0.05,"BIC=-278,436"
P1,Gaussian Mixture,8,0.31178179383277893,1.8438467828572145,199.9864209497005,8,0.0,0.5192550548711442,0.07,"BIC=-281,213"
P1,Gaussian Mixture,9,0.19106172025203705,1.7133601031149743,276.7089478076604,9,0.0,0.43463495737611313,0.11,"BIC=-317,278"
