algoritmo,k,silueta_promedio,db,ch,ari_mod,ari_cuartil,entropia,cobertura,base_aleatoria,base_modalidad,n_grupos,n_proveedores,descalificado,motivos
kprototypes,3,0.2551475167274475,1.3886301539421029,990.9521086845197,0.0541067112782963,0.3333908640380065,0.7982878238055245,100.0,-0.00487482671936353,0.32424229880174,3.0,3,True,P2: no supera la línea base modalidad (0.2497 <= 0.3854) | P3: no supera la línea base modalidad (0.2452 <= 0.3460)
kprototypes,4,0.35545194149017334,1.2065564069156383,1018.5451169379036,0.304971648708686,0.2990804910738995,0.8504459773780884,100.0,-0.012612084858119488,0.32424229880174,4.0,3,False,
kprototypes,5,0.31894458333651227,1.1879049486481577,1004.3324400879719,0.26771028896560467,0.23265721776766582,0.8906099242150173,100.0,-0.017195449210703373,0.32424229880174,5.0,3,True,P2: no supera la línea base modalidad (0.3817 <= 0.3854) | P3: no supera la línea base modalidad (0.3224 <= 0.3460)
kprototypes,6,0.29696255425612134,1.1467891232567011,987.5454513204176,0.23960129331146418,0.20530051740760988,0.898994751554142,100.0,-0.02251528576016426,0.32424229880174,6.0,3,True,P2: no supera la línea base modalidad (0.3338 <= 0.3854) | P3: no supera la línea base modalidad (0.3106 <= 0.3460)
kprototypes,7,0.27415764828523,1.1694742052011913,945.101300980611,0.1809584855425994,0.20251772783873911,0.9341171042675881,100.0,-0.025968915472428005,0.32424229880174,7.0,3,True,P1: no supera la línea base modalidad (0.2245 <= 0.2414) | P2: no supera la línea base modalidad (0.3106 <= 0.3854) | P3: no supera la línea base modalidad (0.2874 <= 0.3460)
kprototypes,8,0.2746935188770294,1.177448272597585,932.2712151638447,0.17515312850426204,0.21087182889541942,0.9498511040766822,100.0,-0.028943697611490887,0.32424229880174,8.0,3,True,P1: no supera la línea base modalidad (0.2271 <= 0.2414) | P2: no supera la línea base modalidad (0.2865 <= 0.3854) | P3: no supera la línea base modalidad (0.3105 <= 0.3460)
kprototypes,9,0.25221023956934613,1.1873759322354502,892.2610760934273,0.1728415909903157,0.221930425962791,0.9163451697840447,100.0,-0.031122867638866108,0.32424229880174,9.0,3,True,P1: no supera la línea base modalidad (0.2187 <= 0.2414) | P2: no supera la línea base modalidad (0.2811 <= 0.3854) | P3: no supera la línea base modalidad (0.2568 <= 0.3460)
kprototypes,10,0.2621970723072688,1.175042436216111,887.5475134451907,0.1757387712132968,0.18686173628900224,0.9320953595187653,100.0,-0.042104446639617286,0.32424229880174,10.0,3,True,P1: no supera la línea base modalidad (0.2201 <= 0.2414) | P2: no supera la línea base modalidad (0.2702 <= 0.3854) | P3: no supera la línea base modalidad (0.2963 <= 0.3460)
kmeans,3,0.2590295970439911,1.3864108967635669,992.0637689034178,0.0658077595006792,0.3332071232142389,0.7988193915234519,100.0,-0.00487482671936353,0.32424229880174,3.0,3,True,P2: no supera la línea base modalidad (0.2537 <= 0.3854) | P3: no supera la línea base modalidad (0.2528 <= 0.3460)
kmeans,4,0.3680465618769328,1.2023541781800533,1020.4786680863199,0.3408052320865938,0.2595994894842575,0.8438287370688607,100.0,-0.012612084858119488,0.32424229880174,4.0,3,False,
kmeans,5,0.32514239350954693,1.1853889044335517,1005.9003810048071,0.28809430382428275,0.21200532088885712,0.8863886850177535,100.0,-0.017195449210703373,0.32424229880174,5.0,3,True,P3: no supera la línea base modalidad (0.3224 <= 0.3460)
