proveedor,provincia,variable,eta2_vs_modalidad
P1,LOJA,distancia_km,0.0082
P1,LOJA,cpc_jaccard4,0.0041
P1,LOJA,modalidad_afinidad,1.0
P1,LOJA,sim_tfidf,0.0218
P1,LOJA,desviacion_presupuesto,0.2695
P1,LOJA,log_presupuesto,0.2695
P1,LOJA,actividad_cpc_comprador,0.0114
P2,GUAYAS,distancia_km,0.0093
P2,GUAYAS,cpc_jaccard4,0.0486
P2,GUAYAS,modalidad_afinidad,1.0
P2,GUAYAS,sim_tfidf,0.0458
P2,GUAYAS,desviacion_presupuesto,0.2695
P2,GUAYAS,log_presupuesto,0.2695
P2,GUAYAS,actividad_cpc_comprador,0.0114
P3,PICHINCHA,distancia_km,0.0104
P3,PICHINCHA,cpc_jaccard4,0.0855
P3,PICHINCHA,modalidad_afinidad,1.0
P3,PICHINCHA,sim_tfidf,0.0611
P3,PICHINCHA,desviacion_presupuesto,0.2695
P3,PICHINCHA,log_presupuesto,0.2695
P3,PICHINCHA,actividad_cpc_comprador,0.0114
