proveedor,provincia,linea_base,n_grupos,silueta_gower
P1,LOJA,modalidad_norm (trivial),9,0.2414
P1,LOJA,aleatoria,2,-0.0001
P1,LOJA,aleatoria,3,-0.0071
P1,LOJA,aleatoria,4,-0.0117
P1,LOJA,aleatoria,5,-0.0111
P1,LOJA,aleatoria,6,-0.0194
P1,LOJA,aleatoria,7,-0.0215
P1,LOJA,aleatoria,8,-0.0273
P1,LOJA,aleatoria,9,-0.0338
P1,LOJA,aleatoria,10,-0.0389
P1,LOJA,aleatoria,11,-0.0377
P1,LOJA,aleatoria,12,-0.0399
P1,LOJA,aleatoria,13,-0.0388
P1,LOJA,aleatoria,14,-0.0566
P1,LOJA,aleatoria,15,-0.0461
P1,LOJA,aleatoria,16,-0.0561
P1,LOJA,aleatoria,17,-0.0601
P1,LOJA,aleatoria,18,-0.0568
P1,LOJA,aleatoria,19,-0.0521
P1,LOJA,aleatoria,20,-0.0846
P2,GUAYAS,modalidad_norm (trivial),9,0.3854
P2,GUAYAS,aleatoria,2,0.0004
P2,GUAYAS,aleatoria,3,-0.0036
P2,GUAYAS,aleatoria,4,-0.0109
P2,GUAYAS,aleatoria,5,-0.0193
P2,GUAYAS,aleatoria,6,-0.0244
P2,GUAYAS,aleatoria,7,-0.0307
P2,GUAYAS,aleatoria,8,-0.027
P2,GUAYAS,aleatoria,9,-0.029
P2,GUAYAS,aleatoria,10,-0.0441
P2,GUAYAS,aleatoria,11,-0.0485
P2,GUAYAS,aleatoria,12,-0.0497
P2,GUAYAS,aleatoria,13,-0.054
P2,GUAYAS,aleatoria,14,-0.0551
P2,GUAYAS,aleatoria,15,-0.0607
P2,GUAYAS,aleatoria,16,-0.0535
P2,GUAYAS,aleatoria,17,-0.0624
P2,GUAYAS,aleatoria,18,-0.0724
P2,GUAYAS,aleatoria,19,-0.0649
P2,GUAYAS,aleatoria,20,-0.084
P3,PICHINCHA,modalidad_norm (trivial),9,0.346
P3,PICHINCHA,aleatoria,2,0.0003
P3,PICHINCHA,aleatoria,3,-0.004
P3,PICHINCHA,aleatoria,4,-0.0153
P3,PICHINCHA,aleatoria,5,-0.0212
P3,PICHINCHA,aleatoria,6,-0.0237
P3,PICHINCHA,aleatoria,7,-0.0257
P3,PICHINCHA,aleatoria,8,-0.0326
P3,PICHINCHA,aleatoria,9,-0.0305
P3,PICHINCHA,aleatoria,10,-0.0433
P3,PICHINCHA,aleatoria,11,-0.0494
P3,PICHINCHA,aleatoria,12,-0.0457
P3,PICHINCHA,aleatoria,13,-0.0394
P3,PICHINCHA,aleatoria,14,-0.0584
P3,PICHINCHA,aleatoria,15,-0.0533
P3,PICHINCHA,aleatoria,16,-0.0812
P3,PICHINCHA,aleatoria,17,-0.0662
P3,PICHINCHA,aleatoria,18,-0.0837
P3,PICHINCHA,aleatoria,19,-0.0663
P3,PICHINCHA,aleatoria,20,-0.0816
