proveedor,provincia,linea_base,n_grupos,silueta_gower
P1,GUAYAS,modalidad_norm (trivial),9,0.1325
P1,GUAYAS,aleatoria,2,0.0002
P1,GUAYAS,aleatoria,3,-0.0046
P1,GUAYAS,aleatoria,4,-0.0108
P1,GUAYAS,aleatoria,5,-0.0162
P1,GUAYAS,aleatoria,6,-0.0193
P1,GUAYAS,aleatoria,7,-0.0371
P1,GUAYAS,aleatoria,8,-0.0216
P1,GUAYAS,aleatoria,9,-0.0282
P1,GUAYAS,aleatoria,10,-0.0333
P1,GUAYAS,aleatoria,11,-0.0472
P1,GUAYAS,aleatoria,12,-0.0601
P1,GUAYAS,aleatoria,13,-0.0726
P1,GUAYAS,aleatoria,14,-0.0461
P1,GUAYAS,aleatoria,15,-0.0705
P1,GUAYAS,aleatoria,16,-0.0538
P1,GUAYAS,aleatoria,17,-0.0751
P1,GUAYAS,aleatoria,18,-0.0673
P1,GUAYAS,aleatoria,19,-0.102
P1,GUAYAS,aleatoria,20,-0.0842
P2,PICHINCHA,modalidad_norm (trivial),9,0.0837
P2,PICHINCHA,aleatoria,2,0.0001
P2,PICHINCHA,aleatoria,3,-0.0038
P2,PICHINCHA,aleatoria,4,-0.0213
P2,PICHINCHA,aleatoria,5,-0.0387
P2,PICHINCHA,aleatoria,6,-0.0256
P2,PICHINCHA,aleatoria,7,-0.0348
P2,PICHINCHA,aleatoria,8,-0.0279
P2,PICHINCHA,aleatoria,9,-0.0376
P2,PICHINCHA,aleatoria,10,-0.0489
P2,PICHINCHA,aleatoria,11,-0.067
P2,PICHINCHA,aleatoria,12,-0.0565
P2,PICHINCHA,aleatoria,13,-0.0478
P2,PICHINCHA,aleatoria,14,-0.0663
P2,PICHINCHA,aleatoria,15,-0.0785
P2,PICHINCHA,aleatoria,16,-0.0926
P2,PICHINCHA,aleatoria,17,-0.0791
P2,PICHINCHA,aleatoria,18,-0.0896
P2,PICHINCHA,aleatoria,19,-0.0819
P2,PICHINCHA,aleatoria,20,-0.0784
P3,SANTO DOMINGO DE LOS TSACHILAS,modalidad_norm (trivial),9,0.0959
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,2,0.0004
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,3,-0.0036
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,4,-0.023
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,5,-0.0259
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,6,-0.0224
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,7,-0.0443
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,8,-0.0259
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,9,-0.0246
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,10,-0.0495
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,11,-0.0442
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,12,-0.0579
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,13,-0.0751
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,14,-0.0634
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,15,-0.0589
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,16,-0.0706
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,17,-0.0705
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,18,-0.0685
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,19,-0.0593
P3,SANTO DOMINGO DE LOS TSACHILAS,aleatoria,20,-0.0761
